X,ScoreHack2D,RecoEff,CloneRate,GhostRate
1,0.890353550291,0.824696415186,0.000225,0.0933341479513
2,0.903483267191,0.839922557284,0.000415909090909,0.0794498039241
3,0.916829556122,0.852030581205,0.0,0.0683635510817
4,0.925007289778,0.859248047786,0.0001,0.0637602063872
5,0.927136776477,0.860070028784,0.0,0.0631403661397
10,0.934032067104,0.863698922461,0.0,0.0609380819645
15,0.932043336347,0.860409578472,0.000173611111111,0.0642164823223
20,0.936763260514,0.864885654035,0.0,0.0602366593632
25,0.936167840164,0.863392555888,0.000142857142857,0.0617985212629
30,0.938513848753,0.868064575844,7.14285714286e-05,0.0588606832194
